FQN;LINE_MISSED;LINE_COVERED
org.petclinic.PetclinicInitializer;0;24
org.petclinic.model.NamedEntity;1;4
org.petclinic.model.Specialty;0;1
org.petclinic.model.PetType;0;1
org.petclinic.model.Vets;3;1
org.petclinic.model.Visit;0;12
org.petclinic.model.BaseEntity;0;5
org.petclinic.model.Person;0;7
org.petclinic.model.Owner;10;30
org.petclinic.model.Pet;3;18
org.petclinic.model.Vet;1;10
org.petclinic.service.ClinicServiceImpl;2;16
org.petclinic.web.OwnerController;10;26
org.petclinic.web.PetTypeFormatter;1;9
org.petclinic.web.PetController;10;20
org.petclinic.web.PetValidator;3;8
org.petclinic.web.VisitController;3;13
org.petclinic.web.VetController;7;3
org.petclinic.web.CrashController;1;1
org.petclinic.util.EntityUtils;6;0
org.petclinic.util.CallMonitoringAspect;11;13
org.petclinic.repository.jdbc.JdbcVisitRowMapper;7;0
org.petclinic.repository.jdbc.JdbcPetRepositoryImpl;33;0
org.petclinic.repository.jdbc.JdbcVetRepositoryImpl;17;0
org.petclinic.repository.jdbc.JdbcPetRowMapper;9;0
org.petclinic.repository.jdbc.JdbcVisitRepositoryImpl;26;0
org.petclinic.repository.jdbc.JdbcPet;7;0
org.petclinic.repository.jdbc.JdbcPetVisitExtractor;8;0
org.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl;43;0
org.petclinic.repository.jpa.JpaVisitRepositoryImpl;4;4
org.petclinic.repository.jpa.JpaOwnerRepositoryImpl;2;8
org.petclinic.repository.jpa.JpaVetRepositoryImpl;0;2
org.petclinic.repository.jpa.JpaPetRepositoryImpl;1;6